date,feature_index,avg(band_0),avg(band_1),avg(band_2),avg(band_3),avg(band_4),avg(band_5),avg(band_6),avg(band_7),avg(band_8),avg(band_9),avg(band_10),avg(band_11)
2019-07-13T00:00:00.000Z,0,1468.21875,1797.40625,2801.796875,3926.671875,4612.5625,4950.109375,5130.03125,4910.9375,5358.234375,6589.6484375,5619.953125,5.0
2019-10-01T00:00:00.000Z,0,900.875,1081.21875,1672.953125,2232.25,2773.5546875,3214.84375,3416.7578125,3273.65625,3622.46875,3797.84375,2838.3125,5.0
2018-07-13T00:00:00.000Z,0,1277.21875,1642.75,2475.84375,3549.234375,4033.8984375,4171.609375,4463.015625,4284.453125,4583.15625,5944.7890625,5272.921875,5.0
2018-11-30T00:00:00.000Z,0,947.0078125,1367.1015625,2181.734375,3287.828125,3747.109375,4006.0078125,4232.5,4549.265625,4467.8203125,5635.34375,4720.515625,5.0
2019-10-16T00:00:00.000Z,0,1003.8671875,1360.4765625,2090.65625,2868.6015625,3502.1328125,3910.375,4208.6796875,4109.546875,4390.2578125,5257.3125,4419.8125,5.0
2022-02-17T00:00:00.000Z,0,1261.84375,1600.7708333333333,2435.625,3706.40625,4170.84375,4335.041666666667,4524.635416666667,4712.25,4729.791666666667,6026.09375,5065.729166666667,5.0
2022-06-22T00:00:00.000Z,0,1026.625,1522.71875,2515.8203125,3739.2421875,4160.0546875,4209.1328125,4461.890625,4326.453125,4602.6328125,5283.9609375,4379.671875,5.0
2018-06-03T00:00:00.000Z,0,,,,,,,,,,,,
2018-10-31T00:00:00.000Z,0,1004.84375,1362.140625,2130.59375,3081.015625,3646.8046875,3953.828125,4246.1328125,4288.390625,4447.171875,5573.7109375,4675.453125,5.0
2018-03-05T00:00:00.000Z,0,1000.8203125,1351.921875,2077.25,3196.421875,3644.4921875,3795.234375,4048.484375,4201.046875,4280.3125,5648.1875,4694.875,5.0
2019-06-23T00:00:00.000Z,0,1305.234375,1592.1875,2497.71875,3589.1875,4132.6015625,4325.765625,4491.21875,4372.234375,4647.6640625,5676.0546875,4734.4609375,5.0
2019-08-12T00:00:00.000Z,0,1274.5703125,1535.765625,2437.25,3256.5234375,3977.6328125,4693.109375,4961.375,4765.9375,5156.96875,5669.109375,4628.4375,5.0
2020-09-10T00:00:00.000Z,0,987.2265625,1271.015625,2012.515625,2638.578125,3306.8671875,3953.078125,4327.7578125,4104.671875,4433.9921875,4289.5546875,3179.671875,5.0
2020-11-19T00:00:00.000Z,0,940.0,1357.953125,2184.1953125,3174.6328125,3811.1328125,4215.90625,4467.65625,4676.3671875,4676.6328125,5476.078125,4526.1640625,5.0
2018-05-04T00:00:00.000Z,0,1321.9609375,1649.859375,2423.515625,3584.9375,4045.921875,4116.640625,4434.8359375,4378.5,4644.4375,6070.390625,5197.0859375,5.0
2018-10-06T00:00:00.000Z,0,1065.6640625,1293.1484375,2066.578125,2815.90625,3486.6484375,3969.359375,4197.8828125,4058.53125,4460.1015625,5361.0546875,4360.7265625,5.0
2019-07-23T00:00:00.000Z,0,1615.4453125,1798.921875,2684.375,3517.4375,4247.7734375,4808.5546875,5042.8984375,4733.53125,5282.6328125,5817.046875,4542.8125,5.0
2022-03-24T00:00:00.000Z,0,,,,,,,,,,,,
2018-07-28T00:00:00.000Z,0,1301.5546875,1600.75,2500.71875,3493.953125,4084.5390625,4388.7734375,4602.7421875,4371.3125,4804.9296875,5994.8828125,5064.25,5.0
2020-07-27T00:00:00.000Z,0,,,,,,,,,,,,
2023-04-03T00:00:00.000Z,0,1202.5234375,1641.671875,2690.640625,4026.03125,4498.859375,4652.109375,4804.0625,4932.59375,4959.265625,5846.390625,4851.8125,5.0
2023-05-08T00:00:00.000Z,0,,,,,,,,,,,,
2023-11-29T00:00:00.000Z,0,1032.140625,1352.359375,2155.03125,3295.03125,3875.625,4122.2265625,4370.4765625,4455.75,4635.140625,5790.71875,4643.8984375,5.0
2023-12-14T00:00:00.000Z,0,1279.65625,1642.890625,2322.34375,3373.296875,3814.6171875,4064.859375,4299.0546875,4599.71875,4493.734375,5489.90625,4592.609375,5.0
2018-04-09T00:00:00.000Z,0,1357.578125,1597.1875,2297.796875,3324.921875,3744.09375,3854.6484375,4047.4140625,4148.8125,4284.0,5634.0703125,4606.6796875,5.0
2018-09-26T00:00:00.000Z,0,1263.515625,1463.9375,2197.578125,2882.3125,3556.3359375,4179.34375,4449.2734375,4329.96875,4688.109375,5302.8984375,4265.015625,5.0
2022-05-08T00:00:00.000Z,0,1057.1171875,1616.265625,2887.6171875,4367.875,4757.890625,4821.6875,5001.84375,5064.03125,5424.4921875,6651.6875,5534.4921875,5.0
2022-08-26T00:00:00.000Z,0,1546.9140625,1999.546875,3117.84375,4314.4375,4871.578125,5190.5546875,5403.890625,5244.3125,5726.7265625,6632.2109375,5688.375,5.0
2019-06-18T00:00:00.000Z,0,1288.3828125,1698.515625,2613.28125,3764.2890625,4314.984375,4441.4609375,4732.03125,4519.625,4854.4140625,6304.0703125,5703.5078125,5.0
2019-09-06T00:00:00.000Z,0,1047.6484375,1359.65625,2198.9296875,2832.46875,3667.03125,4478.7734375,4899.3671875,4673.40625,5007.3984375,5362.5078125,4509.7734375,5.0
2018-03-25T00:00:00.000Z,0,1191.15625,1533.609375,2218.265625,3257.53125,3626.8671875,3782.125,4015.8203125,4215.3125,4231.953125,5641.875,4739.234375,5.0
2019-10-21T00:00:00.000Z,0,2689.59375,1550.640625,2183.34375,2961.4375,3330.28125,3655.71875,3890.09375,3117.5625,4084.4375,4195.0,3343.15625,5.09375
2018-04-19T00:00:00.000Z,0,1169.3671875,1422.390625,2203.46875,3351.875,3788.1875,3939.3828125,4151.875,4346.5625,4415.0390625,5839.140625,4771.109375,5.0
2021-02-27T00:00:00.000Z,0,1706.9453125,2020.109375,2616.09375,3565.296875,3950.5546875,4079.375,4310.40625,4459.15625,4490.6640625,5822.046875,4974.8828125,5.0
2021-03-14T00:00:00.000Z,0,1254.8125,1497.734375,2141.90625,3057.09375,3426.0234375,3530.765625,3676.171875,3752.578125,3852.0625,4807.15625,3955.9609375,5.0
2021-12-04T00:00:00.000Z,0,1534.0625,1871.453125,2520.296875,3475.09375,3918.09375,4137.4140625,4379.8125,4563.59375,4578.0859375,5576.3203125,4720.8984375,5.0
2023-03-04T00:00:00.000Z,0,1196.796875,1542.265625,2420.1875,3683.1015625,4161.4921875,4343.8125,4519.6640625,4669.125,4692.21875,6019.3984375,5148.234375,5.0
2023-04-28T00:00:00.000Z,0,1268.2265625,1697.640625,2614.15625,3886.84375,4391.6875,4429.203125,4717.3515625,4576.6875,4844.890625,6248.4375,5610.2890625,5.0
2023-09-15T00:00:00.000Z,0,,,,,,,,,,,,
2023-10-05T00:00:00.000Z,0,1158.46875,1664.34375,2499.15625,3168.34375,3735.171875,4308.5390625,4682.1015625,4665.6875,5023.1171875,5249.9296875,4298.6328125,5.0
2018-11-25T00:00:00.000Z,0,1154.1328125,1428.8125,2202.5625,3254.015625,3748.828125,4010.953125,4216.6796875,4452.453125,4455.328125,5571.9921875,4460.0546875,5.0
2019-06-03T00:00:00.000Z,0,1369.6328125,1714.734375,2730.921875,4045.625,4592.5078125,4643.8984375,4794.6328125,4596.8125,5038.9765625,6542.1171875,5697.046875,5.0
2019-10-11T00:00:00.000Z,0,,,,,,,,,,,,
2020-09-15T00:00:00.000Z,0,1306.828125,1604.609375,2561.390625,3372.1171875,4194.0703125,4947.8203125,5220.9140625,5037.4375,5442.4296875,5907.9296875,4847.765625,5.0
2020-11-24T00:00:00.000Z,0,941.3984375,1275.1328125,2141.3828125,3176.25,3792.4921875,4167.6640625,4392.796875,4620.796875,4655.59375,5455.3515625,4346.859375,5.0
2022-03-29T00:00:00.000Z,0,1664.453125,1954.25,2710.15625,3853.53125,4282.3125,4432.2421875,4608.3828125,4843.875,4771.7265625,6046.34375,5078.8125,5.0
2022-07-17T00:00:00.000Z,0,,,,,,,,,,,,
2018-01-09T00:00:00.000Z,0,1013.21875,1221.125,1976.921875,3034.46875,3457.96875,3683.1875,3897.15625,4184.65625,4154.6328125,5320.6953125,4147.671875,5.0
2018-01-29T00:00:00.000Z,0,1428.796875,1690.4375,2287.609375,3158.59375,3544.8515625,3690.15625,3871.59375,4048.625,4118.203125,5229.609375,4213.8046875,5.0
2019-02-08T00:00:00.000Z,0,1073.875,1506.71875,2388.46875,3617.78125,4025.0078125,4216.40625,4442.0390625,4696.6875,4633.859375,5977.171875,5099.046875,5.0
2019-02-13T00:00:00.000Z,0,1214.375,1535.15625,2427.1875,3646.7890625,4096.671875,4270.9140625,4453.5859375,4672.0,4665.4609375,5979.46875,4926.7265625,5.0
2019-03-15T00:00:00.000Z,0,1467.9375,1746.59375,2500.046875,3561.921875,4002.328125,4117.1484375,4280.4921875,4369.96875,4469.828125,5862.4765625,4904.578125,5.0
2019-05-29T00:00:00.000Z,0,1415.3125,1794.6875,2664.140625,3880.65625,4309.4140625,4348.6171875,4655.7421875,4459.375,4776.4921875,6072.4453125,5369.2421875,5.0
2019-09-26T00:00:00.000Z,0,1207.5703125,1478.734375,2136.28125,2704.4375,3380.796875,4016.3359375,4385.5078125,4232.8125,4553.5859375,4881.3671875,4004.5703125,5.0
2019-11-20T00:00:00.000Z,0,982.703125,1302.9921875,2121.3828125,3199.390625,3717.6015625,3950.2578125,4147.21875,4313.0625,4393.6328125,5581.375,4522.328125,5.0
2020-01-14T00:00:00.000Z,0,936.265625,1348.96875,2121.328125,3222.8671875,3649.9375,3813.4453125,4036.3125,4243.671875,4234.5078125,5591.609375,4770.0078125,5.0
2020-01-24T00:00:00.000Z,0,1198.640625,1615.640625,2394.390625,3514.5625,3900.421875,4080.484375,4299.9453125,4561.6875,4490.96875,5756.5,4892.46875,5.0
2020-03-04T00:00:00.000Z,0,1382.7578125,1738.046875,2441.34375,3523.453125,3900.578125,4035.3515625,4243.8359375,4450.59375,4410.9140625,5797.4765625,5020.8046875,5.0
2020-03-09T00:00:00.000Z,0,1212.421875,1543.65625,2385.328125,3594.3125,4019.4140625,4169.8359375,4341.875,4533.34375,4549.7109375,5926.3671875,4942.0625,5.0
2020-04-18T00:00:00.000Z,0,1511.1484375,1788.828125,2590.828125,3699.234375,4149.6015625,4228.859375,4394.78125,4427.21875,4577.4921875,5968.8046875,5026.75,5.0
